"# Channel 1"
"# Trace 2"
Frequency, Formatted Data, Formatted Data
+1.42789312500E+008, -7.22167287843E-002, +0.00000000000E+000
+1.45289125000E+008, -7.37130050113E-002, +0.00000000000E+000
+1.47788937500E+008, -7.53207202844E-002, +0.00000000000E+000
+1.50288750000E+008, -7.60709807981E-002, +0.00000000000E+000
+1.52788562500E+008, -7.75954219448E-002, +0.00000000000E+000
+1.55288375000E+008, -7.79063465165E-002, +0.00000000000E+000
+1.57788187500E+008, -7.98047844543E-002, +0.00000000000E+000
+1.60288000000E+008, -8.06467628747E-002, +0.00000000000E+000
+1.62787812500E+008, -8.18595819515E-002, +0.00000000000E+000
+1.65287625000E+008, -8.23974555884E-002, +0.00000000000E+000
+1.67787437500E+008, -8.38083850900E-002, +0.00000000000E+000
+1.70287250000E+008, -8.76951325322E-002, +0.00000000000E+000
+1.72787062500E+008, -8.78360943359E-002, +0.00000000000E+000
+1.75286875000E+008, -8.90553366162E-002, +0.00000000000E+000
+1.77786687500E+008, -8.87170433898E-002, +0.00000000000E+000
+1.80286500000E+008, -8.96710432592E-002, +0.00000000000E+000
+1.82786312500E+008, -9.09179556361E-002, +0.00000000000E+000
+1.85286125000E+008, -9.18824362717E-002, +0.00000000000E+000
+1.87785937500E+008, -9.29531593900E-002, +0.00000000000E+000
+1.90285750000E+008, -9.42661020273E-002, +0.00000000000E+000
+1.92785562500E+008, -9.55324570210E-002, +0.00000000000E+000
+1.95285375000E+008, -9.70331455738E-002, +0.00000000000E+000
+1.97785187500E+008, -9.82744398752E-002, +0.00000000000E+000
+2.00285000000E+008, -9.95579825337E-002, +0.00000000000E+000
+2.02784812500E+008, -1.02099249009E-001, +0.00000000000E+000
+2.05284625000E+008, -1.02701570933E-001, +0.00000000000E+000
+2.07784437500E+008, -1.04316935533E-001, +0.00000000000E+000
+2.10284250000E+008, -1.03466663339E-001, +0.00000000000E+000
+2.12784062500E+008, -1.05955550545E-001, +0.00000000000E+000
+2.15283875000E+008, -1.05738356200E-001, +0.00000000000E+000
+2.17783687500E+008, -1.07253100967E-001, +0.00000000000E+000
+2.20283500000E+008, -1.08943852941E-001, +0.00000000000E+000
+2.22783312500E+008, -1.11916928289E-001, +0.00000000000E+000
+2.25283125000E+008, -1.13286066466E-001, +0.00000000000E+000
+2.27782937500E+008, -1.13021214130E-001, +0.00000000000E+000
+2.30282750000E+008, -1.15367221153E-001, +0.00000000000E+000
+2.32782562500E+008, -1.16370950273E-001, +0.00000000000E+000
+2.35282375000E+008, -1.16931326744E-001, +0.00000000000E+000
+2.37782187500E+008, -1.18387718464E-001, +0.00000000000E+000
+2.40282000000E+008, -1.20579890210E-001, +0.00000000000E+000
+2.42781812500E+008, -1.20984827263E-001, +0.00000000000E+000
+2.45281625000E+008, -1.21694823706E-001, +0.00000000000E+000
+2.47781437500E+008, -1.23089153224E-001, +0.00000000000E+000
+2.50281250000E+008, -1.24661020801E-001, +0.00000000000E+000
+2.52781062500E+008, -1.26800707162E-001, +0.00000000000E+000
+2.55280875000E+008, -1.27479128990E-001, +0.00000000000E+000
+2.57780687500E+008, -1.28676361619E-001, +0.00000000000E+000
+2.60280500000E+008, -1.30428552600E-001, +0.00000000000E+000
+2.62780312500E+008, -1.32167554489E-001, +0.00000000000E+000
+2.65280125000E+008, -1.32250021748E-001, +0.00000000000E+000
+2.67779937500E+008, -1.32026796589E-001, +0.00000000000E+000
+2.70279750000E+008, -1.34347852183E-001, +0.00000000000E+000
+2.72779562500E+008, -1.35505276490E-001, +0.00000000000E+000
+2.75279375000E+008, -1.36261646846E-001, +0.00000000000E+000
+2.77779187500E+008, -1.39636129763E-001, +0.00000000000E+000
+2.80279000000E+008, -1.40149885683E-001, +0.00000000000E+000
+2.82778812500E+008, -1.39124235076E-001, +0.00000000000E+000
+2.85278625000E+008, -1.41325541221E-001, +0.00000000000E+000
